fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-01-29,B6,B6,B6,633,B6,N935JB,633,10721,BOS,"Boston, MA",14771,SFO,"San Francisco, CA",1530,1525,-5,20,1545,1847,9,1930,1856,-34,0,,0,N,420,391,362,1,2704,,,,,,,,,
2019-07-02,AS,AS,AS,465,AS,N483AS,465,12892,LAX,"Los Angeles, CA",14747,SEA,"Seattle, WA",1200,1146,-14,17,1203,1419,6,1450,1425,-25,0,,0,N,170,159,136,1,954,,,,,,,,,
2018-02-25,AS,AS_CODESHARE,AS,3421,OO,N179SY,3421,10713,BOI,"Boise, ID",14747,SEA,"Seattle, WA",820,810,-10,16,826,842,5,900,847,-13,0,,0,N,100,97,76,1,399,,,,,,,,,
2018-02-02,AS,AS_CODESHARE,AS,2476,QX,N453QX,2476,12892,LAX,"Los Angeles, CA",15023,STS,"Santa Rosa, CA",1423,1420,-3,23,1443,1600,5,1605,1605,0,0,,0,N,102,105,77,1,400,,,,,,,,,
2018-07-01,AA,AA,AA,655,AA,N981UY,655,14100,PHL,"Philadelphia, PA",14107,PHX,"Phoenix, AZ",1540,1627,47,14,1641,1758,9,1751,1807,16,0,,0,N,311,280,257,1,2075,16,0,0,0,0,,,,
2019-08-03,G4,G4,G4,2406,G4,216NV,2406,11986,GRR,"Grand Rapids, MI",14112,PIE,"St. Petersburg, FL",1418,1412,-6,8,1420,1637,5,1650,1642,-8,0,,0,N,152,150,137,1,1044,,,,,,,,,
2019-11-28,DL,DL,DL,2332,DL,N337NB,2332,13487,MSP,"Minneapolis, MN",12339,IND,"Indianapolis, IN",650,650,0,42,732,935,4,920,939,19,0,,0,N,90,109,63,1,503,0,0,19,0,0,,,,
2018-08-05,UA,UA,UA,1549,UA,N807UA,1549,14771,SFO,"San Francisco, CA",13487,MSP,"Minneapolis, MN",905,859,-6,22,921,1419,4,1439,1423,-16,0,,0,N,214,204,178,1,1589,,,,,,,,,
2019-04-22,DL,DL,DL,1494,DL,N347DN,1494,10397,ATL,"Atlanta, GA",14107,PHX,"Phoenix, AZ",1415,1413,-2,11,1424,1454,6,1525,1500,-25,0,,0,N,250,227,210,1,1587,,,,,,,,,
2019-06-29,WN,WN,WN,3661,WN,N8542Z,3661,13204,MCO,"Orlando, FL",12191,HOU,"Houston, TX",1755,1836,41,19,1855,1955,9,1920,2004,44,0,,0,N,145,148,120,1,849,2,0,3,0,39,,,,
2018-07-03,DL,DL_CODESHARE,DL,4754,OO,N874AS,4754,11433,DTW,"Detroit, MI",14696,SBN,"South Bend, IN",2025,2021,-4,20,2041,2109,3,2123,2112,-11,0,,0,N,58,51,28,1,157,,,,,,,,,
2019-09-09,AA,AA,AA,631,AA,N978UY,631,14100,PHL,"Philadelphia, PA",13930,ORD,"Chicago, IL",915,909,-6,41,950,1037,19,1043,1056,13,0,,0,N,148,167,107,1,678,,,,,,,,,
2019-01-28,AS,AS_CODESHARE,AS,2329,QX,N451QX,2329,10666,BLI,"Bellingham, WA",14747,SEA,"Seattle, WA",500,455,-5,11,506,535,6,545,541,-4,0,,0,N,45,46,29,1,93,,,,,,,,,
2018-10-02,UA,UA_CODESHARE,UA,3839,ZW,N448AW,3839,14711,SCE,"State College, PA",12264,IAD,"Washington, DC",1445,1427,-18,12,1439,1504,9,1546,1513,-33,0,,0,N,61,46,25,1,133,,,,,,,,,
2018-09-05,UA,UA_CODESHARE,UA,3477,YX,N636RW,3477,11292,DEN,"Denver, CO",12339,IND,"Indianapolis, IN",1735,1745,10,19,1804,2208,5,2206,2213,7,0,,0,N,151,148,124,1,977,,,,,,,,,
2018-06-12,AA,AA_CODESHARE,AA,5101,OH,N245PS,5101,11278,DCA,"Washington, DC",13931,ORF,"Norfolk, VA",845,910,25,14,924,1002,3,939,1005,26,0,,0,N,54,55,38,1,142,0,0,1,0,25,,,,
2018-04-22,AA,AA_CODESHARE,AA,3987,MQ,N657AE,3987,11986,GRR,"Grand Rapids, MI",13930,ORD,"Chicago, IL",2057,2041,-16,8,2049,2025,12,2105,2037,-28,0,,0,N,68,56,36,1,137,,,,,,,,,
